taxa_id	count_won_vote	count_truth_table	accuracy
29291	4	4	1
29292	2	2	1
29295	0	1	0
29303	1	1	1
29323	1	1	1
29330	1	1	1
29385	1	1	1
29404	1	1	1
29405	1	1	1
29438	2	2	1
29449	0	1	0
29461	3	4	0.75
29465	2	2	1
29466	1	2	0.5
29487	2	2	1
29488	1	1	1
29494	1	1	1
29501	1	1	1
29518	0	1	0
29519	2	3	0.666666666666667
29520	0	1	0
29521	2	2	1
29526	5	5	1
29530	0	1	0
29543	3	3	1
29546	1	1	1
29548	1	1	1
29549	1	1	1
29574	1	1	1
29580	1	1	1
31909	1	1	1
31998	2	2	1
32008	13	15	0.866666666666667
32012	1	2	0.5
32025	2	2	1
32046	6	6	1
32049	1	1	1
32067	1	1	1
32068	1	1	1
32199	1	1	1
32207	3	3	1
32257	0	1	0
32636	1	1	1
33045	1	1	1
33057	1	1	1
33059	1	1	1
33069	0	1	0
33071	2	2	1
33072	2	2	1
33075	2	2	1
33903	1	1	1
33926	2	2	1
33934	1	1	1
33959	4	5	0.8
33973	2	2	1
33981	5	5	1
33986	6	6	1
33993	1	1	1
33996	1	1	1
34019	1	1	1
34021	1	1	1
34029	1	1	1
34072	3	3	1
34073	3	3	1
34084	1	1	1
34085	1	1	1
34090	4	4	1
34098	1	1	1
34104	1	1	1
34105	1	1	1
35554	2	2	1
35701	1	1	1
35779	1	1	1
35786	1	1	1
35788	1	1	1
35790	1	1	1
35798	3	3	1
35823	1	1	1
36809	1	1	1
36853	4	4	1
36855	1	1	1
36861	3	3	1
36873	3	3	1
37326	2	2	1
37636	2	2	1
37692	1	1	1
37734	1	1	1
37816	0	1	0
37919	2	2	1
38289	2	2	1
38303	0	1	0
39103	0	1	0
39485	1	1	1
39643	2	2	1
39645	1	1	1
39765	3	3	1
39766	3	3	1
39773	1	1	1
39778	1	2	0.5
40136	1	1	1
40137	1	1	1
40215	0	1	0
40269	1	1	1
40274	1	1	1
40323	5	6	0.833333333333333
40324	5	6	0.833333333333333
40542	1	1	1
40566	1	1	1
40567	1	1	1
40576	1	1	1
40834	0	1	0
41275	2	2	1
41431	1	1	1
41707	1	1	1
41980	1	1	1
42054	3	3	1
42255	4	4	1
42443	1	1	1
42837	1	1	1
42838	1	1	1
42862	1	1	1
42879	2	2	1
43080	1	1	1
43305	1	1	1
43663	2	2	1
43668	1	1	1
43669	1	1	1
43673	1	1	1
43674	1	1	1
43675	1	1	1
43687	1	1	1
43767	1	1	1
43771	2	2	1
43773	1	1	1
43947	1	1	1
43948	1	1	1
43988	3	6	0.5
43989	3	6	0.5
44000	6	6	1
44001	6	6	1
44013	2	2	1
44249	1	1	1
44259	1	1	1
44260	5	5	1
44449	2	2	1
45361	2	2	1
45662	2	2	1
45663	2	2	1
45667	5	6	0.833333333333333
46254	4	4	1
46354	1	1	1
46355	1	1	1
46541	2	2	1
47477	0	1	0
47715	1	1	1
47770	2	2	1
47850	1	1	1
47880	1	1	1
48296	0	1	0
48736	3	3	1
48935	3	3	1
49082	1	1	1
49319	4	4	1
49338	4	4	1
50052	3	3	1
51196	1	1	1
51197	1	1	1
51668	1	1	1
51669	1	1	1
